,Job Title,Company,location,site,jobtype,health_insurance,Dental_insurance,years of experience,salary,benefits_401k,stocks,date_posted,Unnamed: 0,lower_limit_salary,upper_limit_salary
0,Quantitative Analyst,American Century Investments,Santa Clara,LinkedIn,Full-time,0,0,0,"[259200, 316800]",0,1,3,,259200,316800.0
1,"Quantitative Marketing Analyst, Google, Search Marketing",Google,Mountain View,LinkedIn,Full-time,1,0,0,"[87000, 128000]",0,1,10,,87000,128000.0
2,Quant Analyst,"Software Guidance & Assistance, Inc. (SGA, Inc.)",San Jose,LinkedIn,Full-time,0,0,3,"[96000, 109440]",0,1,23,,96000,109440.0
3,Quantitative Researcher,MSCI Inc.,Berkeley,Glassdoor,Full-time,1,0,0,"[149000, 194000]",1,1,5,,149000,194000.0
4,Associate Quantitative Analytics and Forecasting Director,Exelixis,Alameda,LinkedIn,Full-time,1,1,7,"[171000, 243000]",1,1,2,,171000,243000.0
5,Quantitative Research Analyst,Charles Schwab,San Francisco,BrokerHunter,Full-time,1,1,5,"[0, 0]",1,1,16,,0,0.0
6,Quantitative Analyst (Staff / Sr Staff) - Power Markets,Equilibrium Energy,Anywhere • via ZipRecruiter,ZipRecruiter,Full-time,1,1,6,"[0, 0]",1,1,30,,0,0.0
7,Quantitative Analyst - Model Validation,Insight Global,San Francisco,Insight Global,Full-time and Contractor,0,0,0,"[0, 0]",1,1,30,,0,0.0
8,Quantitative Analyst,AVA ROAD,San Francisco,Indeed,Full-time,1,1,0,"[0, 0]",1,0,30,,0,0.0
9,Senior Quantitative Analyst,Unreal Gigs,San Francisco,JobServe,Full-time,1,1,5,"[150000, 200000]",1,0,6,,150000,200000.0
10,Principal Quantitative Analyst,Pacific Gas and Electric,Oakland,JobzMall,Full-time,0,0,0,"[147000, 189000]",0,0,30,,147000,189000.0
11,Quantitative analyst,Unreal Gigs,San Francisco,Talent.com,Full-time,1,1,8,"[170000, 230000]",1,1,15,,170000,230000.0
12,Lead Quantitative Risk Analyst,Earnest,Anywhere • via LinkedIn,LinkedIn,Full-time,1,1,6,"[191000, 216000]",1,1,16,,191000,216000.0
13,"Analyst, Quantitative Data Operations",Fidelity Investments,San Francisco,JobzMall,Full-time,0,0,0,"[85000, 125000]",1,1,30,,85000,125000.0
14,Quantitative Trader,Protogon Research,Menlo Park,Glassdoor,Full-time,1,1,0,"[0, 0]",0,0,5,,0,0.0
15,Junior Quantitative Trader,Radley James,San Francisco,LinkedIn,Full-time,1,1,0,"[0, 0]",0,0,6,,0,0.0
16,"Associate, Quantitative Researcher",BlackRock,Palo Alto,JobzMall,Full-time,0,0,0,"[120000, 160000]",1,1,30,,120000,160000.0
17,Quantitative Analyst,Verse Inc.,San Francisco,Job Board,Full-time,1,1,3,"[0, 0]",1,1,30,,0,0.0
18,Quantitative Researcher,American Century Investments,Santa Clara,LinkedIn,Full-time,0,0,5,"[120000, 140000]",1,1,10,,120000,140000.0
